Location,Population,date,HighestInfectionCount,PercentPopulationInfected
Andorra,77265,"2021-04-30 00:00:00",13232,17.1300
Andorra,77265,"2021-04-29 00:00:00",13198,17.0800
Andorra,77265,"2021-04-28 00:00:00",13148,17.0200
Andorra,77265,"2021-04-27 00:00:00",13121,16.9800
Andorra,77265,"2021-04-26 00:00:00",13083,16.9300
Andorra,77265,"2021-04-25 00:00:00",13060,16.9000
Andorra,77265,"2021-04-24 00:00:00",13024,16.8600
Andorra,77265,"2021-04-23 00:00:00",13007,16.8300
Andorra,77265,"2021-04-22 00:00:00",12942,16.7500
Andorra,77265,"2021-04-21 00:00:00",12917,16.7200
Andorra,77265,"2021-04-20 00:00:00",12874,16.6600
Andorra,77265,"2021-04-18 00:00:00",12805,16.5700
Andorra,77265,"2021-04-19 00:00:00",12805,16.5700
Andorra,77265,"2021-04-17 00:00:00",12771,16.5300
Andorra,77265,"2021-04-16 00:00:00",12712,16.4500
Andorra,77265,"2021-04-14 00:00:00",12641,16.3600
Andorra,77265,"2021-04-15 00:00:00",12641,16.3600
Andorra,77265,"2021-04-13 00:00:00",12614,16.3300
Andorra,77265,"2021-04-12 00:00:00",12581,16.2800
Andorra,77265,"2021-04-11 00:00:00",12545,16.2400
Andorra,77265,"2021-04-10 00:00:00",12497,16.1700
Andorra,77265,"2021-04-09 00:00:00",12456,16.1200
Andorra,77265,"2021-04-08 00:00:00",12409,16.0600
Andorra,77265,"2021-04-07 00:00:00",12363,16.0000
Andorra,77265,"2021-04-06 00:00:00",12328,15.9600
Andorra,77265,"2021-04-05 00:00:00",12286,15.9000
Andorra,77265,"2021-04-04 00:00:00",12231,15.8300
Andorra,77265,"2021-04-03 00:00:00",12174,15.7600
Andorra,77265,"2021-04-02 00:00:00",12115,15.6800
Andorra,77265,"2021-04-01 00:00:00",12053,15.6000
Andorra,77265,"2021-03-31 00:00:00",12010,15.5400
Montenegro,628062,"2021-04-30 00:00:00",97389,15.5100
Montenegro,628062,"2021-04-29 00:00:00",97257,15.4900
Montenegro,628062,"2021-04-28 00:00:00",97080,15.4600
Andorra,77265,"2021-03-30 00:00:00",11944,15.4600
Montenegro,628062,"2021-04-27 00:00:00",96930,15.4300
Montenegro,628062,"2021-04-26 00:00:00",96779,15.4100
Montenegro,628062,"2021-04-25 00:00:00",96660,15.3900
Andorra,77265,"2021-03-29 00:00:00",11888,15.3900
Montenegro,628062,"2021-04-24 00:00:00",96499,15.3600
Montenegro,628062,"2021-04-23 00:00:00",96348,15.3400
Andorra,77265,"2021-03-28 00:00:00",11850,15.3400
Montenegro,628062,"2021-04-22 00:00:00",96187,15.3100
Montenegro,628062,"2021-04-21 00:00:00",96048,15.2900
Andorra,77265,"2021-03-27 00:00:00",11809,15.2800
Montenegro,628062,"2021-04-20 00:00:00",95894,15.2700
Montenegro,628062,"2021-04-19 00:00:00",95695,15.2400
Czechia,10708982,"2021-04-30 00:00:00",1630758,15.2300
Czechia,10708982,"2021-04-29 00:00:00",1628536,15.2100
Montenegro,628062,"2021-04-18 00:00:00",95551,15.2100
Montenegro,628062,"2021-04-17 00:00:00",95377,15.1900
Czechia,10708982,"2021-04-28 00:00:00",1626033,15.1800
Andorra,77265,"2021-03-26 00:00:00",11732,15.1800
Montenegro,628062,"2021-04-16 00:00:00",95205,15.1600
Czechia,10708982,"2021-04-27 00:00:00",1622777,15.1500
Czechia,10708982,"2021-04-26 00:00:00",1620206,15.1300
Andorra,77265,"2021-03-25 00:00:00",11687,15.1300
Montenegro,628062,"2021-04-15 00:00:00",95042,15.1300
Czechia,10708982,"2021-04-25 00:00:00",1619383,15.1200
Czechia,10708982,"2021-04-24 00:00:00",1618068,15.1100
Montenegro,628062,"2021-04-14 00:00:00",94859,15.1000
Czechia,10708982,"2021-04-23 00:00:00",1615461,15.0900
Montenegro,628062,"2021-04-13 00:00:00",94643,15.0700
Czechia,10708982,"2021-04-22 00:00:00",1612832,15.0600
Andorra,77265,"2021-03-24 00:00:00",11638,15.0600
Czechia,10708982,"2021-04-21 00:00:00",1609861,15.0300
Montenegro,628062,"2021-04-12 00:00:00",94419,15.0300
Montenegro,628062,"2021-04-11 00:00:00",94269,15.0100
Czechia,10708982,"2021-04-20 00:00:00",1606030,15.0000
Andorra,77265,"2021-03-23 00:00:00",11591,15.0000
Czechia,10708982,"2021-04-19 00:00:00",1602711,14.9700
Montenegro,628062,"2021-04-10 00:00:00",94035,14.9700
Czechia,10708982,"2021-04-18 00:00:00",1601881,14.9600
Czechia,10708982,"2021-04-17 00:00:00",1600341,14.9400
Andorra,77265,"2021-03-22 00:00:00",11545,14.9400
Montenegro,628062,"2021-04-09 00:00:00",93803,14.9400
"San Marino",33938,"2021-04-30 00:00:00",5066,14.9300
"San Marino",33938,"2021-04-28 00:00:00",5059,14.9100
"San Marino",33938,"2021-04-29 00:00:00",5060,14.9100
Andorra,77265,"2021-03-21 00:00:00",11517,14.9100
Czechia,10708982,"2021-04-16 00:00:00",1597103,14.9100
"San Marino",33938,"2021-04-27 00:00:00",5058,14.9000
Montenegro,628062,"2021-04-08 00:00:00",93566,14.9000
"San Marino",33938,"2021-04-26 00:00:00",5055,14.8900
Czechia,10708982,"2021-04-15 00:00:00",1593847,14.8800
"San Marino",33938,"2021-04-22 00:00:00",5045,14.8700
"San Marino",33938,"2021-04-23 00:00:00",5047,14.8700
"San Marino",33938,"2021-04-24 00:00:00",5047,14.8700
"San Marino",33938,"2021-04-25 00:00:00",5047,14.8700
"San Marino",33938,"2021-04-21 00:00:00",5044,14.8600
Andorra,77265,"2021-03-20 00:00:00",11481,14.8600
Montenegro,628062,"2021-04-07 00:00:00",93309,14.8600
"San Marino",33938,"2021-04-20 00:00:00",5040,14.8500
Czechia,10708982,"2021-04-14 00:00:00",1590124,14.8500
"San Marino",33938,"2021-04-19 00:00:00",5030,14.8200
"San Marino",33938,"2021-04-17 00:00:00",5026,14.8100
"San Marino",33938,"2021-04-18 00:00:00",5026,14.8100
Montenegro,628062,"2021-04-06 00:00:00",93030,14.8100
Czechia,10708982,"2021-04-13 00:00:00",1585037,14.8000
Andorra,77265,"2021-03-19 00:00:00",11431,14.7900
"San Marino",33938,"2021-04-16 00:00:00",5016,14.7800
Czechia,10708982,"2021-04-12 00:00:00",1581184,14.7700
Montenegro,628062,"2021-04-05 00:00:00",92740,14.7700
"San Marino",33938,"2021-04-15 00:00:00",5010,14.7600
Czechia,10708982,"2021-04-11 00:00:00",1580189,14.7600
